OBJECTID,ID,Name,LastUpdated,Area,Length
262,127551,Clumber Park,12/20/2016 3:45:35 PM,4314603.48878479,14824.2915337908
263,127591,Kedleston Hall,12/20/2016 3:45:35 PM,3301236.62065125,8198.45121113648
264,127593,Belton House,12/20/2016 3:45:35 PM,3210447.05569458,7588.89853654727
265,178811,Hardwick,12/20/2016 3:45:35 PM,1404943.61978149,6691.71312485833
266,140932,Calke Abbey,12/20/2016 3:45:35 PM,1318421.88545227,7564.64799577113
267,127592,Belton House,12/20/2016 3:45:35 PM,1252281.48213196,6482.11533087367
268,127552,Clumber Park,12/20/2016 3:45:35 PM,481903.251907349,3932.12700766981
269,127477,Lyveden,12/20/2016 3:45:35 PM,110873.117797852,1575.7791161109
270,177270,Farnborough Hall,12/20/2016 3:45:35 PM,43711.134185791,2335.11590358867
271,127405,Upton House,12/20/2016 3:45:35 PM,71920.8602752686,1823.45176801616
272,126517,Ulverscroft,12/20/2016 3:45:35 PM,34460.6530914307,905.771464539211
273,127362,Gunby Hall Estate,12/20/2016 3:45:35 PM,33262.8874206543,721.63389821958
274,127401,Canons Ashby,12/20/2016 3:45:35 PM,28905.058555603,727.812887971841
275,238615,Tattershall Castle,12/20/2016 3:45:35 PM,23862.8236083984,940.376133361193
276,127596,Woolsthorpe Manor,12/20/2016 3:45:35 PM,7891.18754577637,387.988144307437
277,127049,Duffield Castle,12/20/2016 3:45:35 PM,9780.6057434082,416.345287683024
278,177247,Grantham House,12/20/2016 3:45:35 PM,4226.61686706543,287.61762697061
279,127402,Canons Ashby,12/20/2016 3:45:35 PM,5694.87793731689,327.790218186803
280,135557,Gunby Hall Estate,12/20/2016 3:45:35 PM,305.241760253906,82.0946389528272
281,135244,Priest's House,4/28/2017 11:59:28 AM,49.0025177001953,28.749374977422
282,127599,Staunton Harold Church,12/20/2016 3:45:35 PM,1216.44163513184,130.227143478636
283,126432,Middle Littleton Tithe Barn,12/20/2016 3:45:35 PM,564.077125549316,124.005314168745
284,205903,Kinwarton Dovecote,12/20/2016 3:45:35 PM,514.634979248047,88.8671065477633
285,183087,Hamps and Manifold Valleys,12/20/2016 3:45:35 PM,1286456.12815857,10209.4354046009
286,207992,Dovedale,12/20/2016 3:45:35 PM,891171.788070679,4687.6850582586
287,133946,Shugborough Estate,12/20/2016 3:45:35 PM,1254893.9850235,6696.89717844114
288,126540,Kinver Edge,12/20/2016 3:45:35 PM,1126048.77702332,5685.47447379149
289,127377,Wilderhope Manor,12/20/2016 3:45:35 PM,1090665.50748444,5276.81738363765
290,140262,Attingham Park,12/20/2016 3:45:35 PM,1450550.97676849,9903.09917137094
291,126566,Croft Castle,12/20/2016 3:45:35 PM,263479.257545471,4424.31266552202
292,183691,Ilam Park,12/20/2016 3:45:35 PM,183999.732589722,2311.97085055806
293,208001,Dovedale,12/20/2016 3:45:35 PM,260989.0184021,3981.68332064053
294,207999,Hamps and Manifold Valleys,12/20/2016 3:45:35 PM,243632.96043396,2544.73171975106
295,127499,Charlecote Park,12/20/2016 3:45:35 PM,652357.575363159,5824.42266534408
296,127561,Miller's Dale & Ravenstor,12/20/2016 3:45:35 PM,176196.304748535,3779.54301571641
297,208003,Longshaw Estate,12/20/2016 3:45:35 PM,170776.999603271,2093.58793472382
298,133959,Wenlock Edge,12/20/2016 3:45:35 PM,105410.454627991,2021.51192760884
299,139751,Wenlock Edge,12/20/2016 3:45:35 PM,96524.4486160278,1725.50707491393
300,127572,Biddulph Grange Garden,12/20/2016 3:45:35 PM,92804.2187042236,2171.52715157094
301,126536,Kinver Edge,12/20/2016 3:45:35 PM,80684.4677963257,1205.63682809362
302,183794,Dudmaston,12/20/2016 3:45:35 PM,70075.2735824585,1371.74897198585
303,207997,Dovedale,12/20/2016 3:45:35 PM,52020.3508300781,1337.22734399005
304,127383,Baddesley Clinton,12/20/2016 3:45:35 PM,65414.6515960693,1475.77415601695
305,127595,Sudbury Hall,12/20/2016 3:45:35 PM,57251.8776092529,1099.57501575428
306,127389,Berrington Hall,12/20/2016 3:45:35 PM,45313.1413421631,834.63520301348
307,127375,Wightwick Manor,12/20/2016 3:45:35 PM,67936.5588912964,1647.70388198154
308,127407,The Weir Garden,12/20/2016 3:45:35 PM,41253.4915542603,1734.97555406743
309,207995,Dovedale,12/20/2016 3:45:35 PM,38520.9252471924,942.312593135155
